,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BID,230.694136,0.654857924,1.603272755,3.816627489,0.000135288,0.000970353
LINC01687,38.35180948,0.15614631,1.612423642,0.599127302,0.549087996,0.796089368
AL024495.1,32.28773481,-0.485178649,2.698825131,0.400892333,0.688499395,0.890472957
AL590807.1,17.73801253,-0.108414419,3.08047138,0.745308184,0.456085435,0.721406163
HIST1H4H,51.5635323,0.630570706,1.586584438,4.073278247,4.6356E-05,0.000365954
ITGAV,1025.962148,0.657081522,0.902436131,-0.241934507,0.808830912,0.968671954
SLC5A2,341.0247662,-0.431182858,4.546589122,0.856503833,0.391719154,0.669664128
GRK5,294.8922229,-0.104084041,0.989178591,0.547155841,0.584271671,0.819135128
PRAG1,126.1304371,-0.436671188,1.009963482,-1.195205743,0.232006655,0.500860408
CELF5,16.45971759,0.055849561,1.358359872,1.221852378,0.221763457,0.486991138
UTRN,1894.654345,-0.533071777,0.535120017,-0.55668892,0.577739989,0.813643456
MEF2A,1423.779956,-0.586029773,0.789862439,-1.084941385,0.277947617,0.555492161
GLIPR1L1,15.32619869,0.046791953,1.644037725,0.944433662,0.344948087,0.628381582
KANK2,215.157417,0.471814161,1.19390012,-0.106098742,0.915504009,1
NTNG1,241.9208966,-3.28791503,3.982646969,0.323263947,0.746495356,0.930171462
PPP1R26,72.30652218,0.011088592,40.82716121,0.001542461,0.998769294,1
AC073529.1,78.59707456,-0.089362661,43.37627827,-0.097805106,0.922087053,1
EPS8,1309.593982,-0.43805146,0.30127435,-1.783852808,0.074447586,0.236871986
AL132712.1,13.96048084,-0.098996559,2.023278035,0.686640647,0.492309208,0.750517706
FOLR1,1155.478436,7.582656637,2.45044241,8.340405196,7.40364E-17,1.6159E-15
FAM83D,56.1317707,-0.115427562,3.612220873,1.049967381,0.29373311,0.573924495
AC073342.1,33.89324462,0.198948055,1.037984986,1.389012088,0.164829074,0.408452628
CPNE5,52.89341794,-0.923429061,3.461297316,0.943946953,0.345196757,0.628441803
CD1D,23.44286697,0.345795927,2.26900321,1.565248416,0.117524673,0.32872152
FSD1,13.60028281,0.38001255,1.925317088,1.432332043,0.152048817,0.387242265
AP001631.2,34.21422073,-0.040939154,2.067439707,1.281755081,0.199928576,0.458670862
GALNT16,45.63179913,0.113310621,1.408989972,-0.030538279,0.975637765,1
ACBD4,120.0977464,0.436057701,1.160844355,0.649563449,0.515974249,0.769811875
ATP6V1F,3120.128493,8.239360582,2.835757206,9.081037371,1.07545E-19,2.71593E-18
